Sweep	Chain_1	Chain_2	Chain_3	
25068	-21930.34229446	-21940.38387413	-21958.65065974	
25069	-21929.52412381	-21930.34229446	-21954.71546221	
25070	-21929.52412381	-21930.34229446	-21954.71546221	
25071	-21929.52412381	-21935.90754254	-21955.41973911	
25072	-21929.8328858	-21936.34312865	-21960.7018282	
25073	-21929.3410003	-21935.6130887	-21958.78239913	
25074	-21929.30668307	-21935.3120814	-21952.92729305	
25075	-21929.55324825	-21929.55324825	-21949.14729215	
25076	-21929.55324825	-21929.55324825	-21947.95378202	
25077	-21929.55324825	-21929.55324825	-21947.95378202	
25078	-21929.55324825	-21935.0477937	-21940.14698484	
25079	-21929.55324825	-21935.0538233	-21944.81391418	
25080	-21929.55324825	-21935.0538233	-21944.81391418	
25081	-21929.59352638	-21938.92033184	-21947.61423025	
25082	-21934.6332041	-21949.44174394	-21948.67901035	
25083	-21934.48117053	-21949.09369114	-21949.85675144	
25084	-21934.48117053	-21949.09369114	-21949.85675144	
25085	-21934.48117053	-21949.85675144	-21949.09369114	
25086	-21929.42875253	-21939.719599	-21934.86449777	
25087	-21929.42875253	-21934.86449777	-21935.7164227	
25088	-21929.42875253	-21935.7164227	-21934.86449777	
25089	-21930.27524676	-21936.03782544	-21936.88997411	
25090	-21929.32663772	-21929.32663772	-21943.54691074	
25091	-21929.32663772	-21929.32663772	-21943.54691074	
25092	-21929.34470117	-21929.34470117	-21961.30131364	
25093	-21929.34470117	-21929.34470117	-21961.30131364	
25094	-21929.34470117	-21929.34470117	-21961.30131364	
25095	-21929.34470117	-21929.34470117	-21961.30131364	
25096	-21929.39739103	-21941.11639449	-21969.71732881	
25097	-21929.39739103	-21939.38607572	-21969.13924544	
25098	-21929.39739103	-21939.38607572	-21969.13924544	
25099	-21929.45370563	-21940.22910995	-21971.56303968	
25100	-21929.25083313	-21939.47143686	-21969.6912269	
25101	-21929.94741086	-21941.13657993	-21973.30011274	
25102	-21929.54277157	-21935.00822216	-21958.92240387	
25103	-21929.54277157	-21935.00822216	-21958.92240387	
25104	-21929.23610048	-21942.02547203	-21952.871051	
25105	-21929.25865579	-21942.23151382	-21952.46005286	
25106	-21929.25865579	-21942.23151382	-21952.46005286	
25107	-21929.25865579	-21942.23151382	-21952.46005286	
25108	-21929.25865579	-21942.23151382	-21952.46005286	
25109	-21934.5747515	-21937.30008694	-21952.72056409	
25110	-21934.5747515	-21937.30008694	-21952.72056409	
25111	-21929.48326921	-21941.86404374	-21952.54187166	
25112	-21929.63985895	-21949.36036721	-21951.64200438	
25113	-21929.63985895	-21937.92200961	-21939.27170993	
25114	-21929.63985895	-21930.24016764	-21949.65718911	
25115	-21929.23791303	-21935.03524448	-21946.78984493	
25116	-21935.19321503	-21930.27447351	-21968.72081184	
25117	-21929.67415721	-21935.54422843	-21963.4013615	
25118	-21929.69057491	-21935.2393879	-21967.22163555	
25119	-21929.41147841	-21935.34983424	-21963.87114333	
25120	-21930.01171872	-21934.80205303	-21963.87114333	
25121	-21934.76240979	-21929.98733486	-21963.77026443	
25122	-21929.84401533	-21934.47497374	-21962.90415994	
25123	-21929.84401533	-21939.63451063	-21960.23500349	
25124	-21929.84562125	-21939.62567432	-21941.81974583	
25125	-21929.84562125	-21944.65448068	-21956.20657955	
25126	-21929.92724366	-21944.21662708	-21955.76508436	
25127	-21929.92724366	-21944.21662708	-21955.76508436	
25128	-21930.30110889	-21939.96830476	-21964.76354911	
25129	-21930.30110889	-21939.96830476	-21964.76354911	
25130	-21930.06378334	-21939.18010978	-21966.17032527	
25131	-21930.41848954	-21940.21456912	-21969.24537521	
25132	-21930.41848954	-21935.4385698	-21940.59017868	
25133	-21929.85917445	-21930.07701601	-21944.76813586	
25134	-21931.05154575	-21944.48368576	-21931.26912227	
25135	-21930.21107053	-21936.23437377	-21942.16331227	
25136	-21932.17622806	-21934.49904253	-21942.4215527	
25137	-21932.17622806	-21934.49904253	-21942.4215527	
25138	-21930.0126635	-21932.17622806	-21957.99269515	
25139	-21930.0126635	-21932.17622806	-21957.99269515	
25140	-21930.08252162	-21944.05310826	-21944.96233037	
25141	-21930.08252162	-21934.36663367	-21944.68449525	
25142	-21930.41148251	-21934.76508984	-21949.39437946	
25143	-21931.08065206	-21936.33521326	-21953.67058784	
25144	-21931.62906659	-21936.86465545	-21937.85843283	
25145	-21930.75870677	-21936.7428567	-21935.74919716	
25146	-21930.25990624	-21935.07199707	-21936.06552618	
25147	-21929.97463597	-21934.75974831	-21946.03396413	
25148	-21932.27192712	-21937.78570062	-21950.51822452	
25149	-21931.58538219	-21936.92867785	-21949.32012458	
25150	-21931.58538219	-21936.92867785	-21949.32012458	
25151	-21930.98492162	-21931.58538219	-21969.08624611	
25152	-21930.03650439	-21930.63688126	-21966.22483274	
25153	-21930.03650439	-21930.63688126	-21966.22483274	
25154	-21930.02431428	-21930.62468954	-21966.18425672	
25155	-21929.89048137	-21930.49083727	-21965.72767876	
25156	-21929.62026979	-21930.22001546	-21960.80714338	
25157	-21929.52253752	-21935.19229006	-21944.36640484	
25158	-21929.52253752	-21935.19229006	-21944.36640484	
25159	-21929.52253752	-21935.19229006	-21944.36640484	
25160	-21929.38050087	-21939.9228333	-21952.00321998	
25161	-21929.38050087	-21947.76900136	-21948.31136361	
25162	-21929.2792353	-21940.72405335	-21944.50953632	
25163	-21930.09724796	-21939.89161312	-21944.50953632	
25164	-21929.26533965	-21930.08312393	-21948.16471226	
25165	-21929.26533965	-21939.10652453	-21953.59977016	
25166	-21929.23627173	-21939.23970994	-21953.97645829	
25167	-21929.23627173	-21939.23970994	-21953.97645829	
25168	-21929.23627173	-21935.28218762	-21951.19942632	
25169	-21929.23627173	-21930.0541745	-21954.52339831	
25170	-21929.23627173	-21934.93384085	-21944.4953279	
25171	-21930.0541745	-21929.23627173	-21944.33538364	
25172	-21930.0541745	-21944.07927799	-21948.68845275	
25173	-21930.0541745	-21929.23627173	-21944.49207312	
25174	-21930.2638614	-21929.44572539	-21945.34054289	
25175	-21930.09036554	-21929.27236217	-21944.77127054	
25176	-21934.56390906	-21930.09036554	-21958.56654321	
25177	-21929.27236217	-21935.38289591	-21958.56654321	
25178	-21930.09036554	-21929.27236217	-21953.85821043	
25179	-21930.09036554	-21934.19619582	-21939.51979167	
25180	-21930.05550765	-21934.09144604	-21939.3450043	
25181	-21934.09144604	-21930.05550765	-21939.3450043	
25182	-21930.05550765	-21934.09144604	-21939.3450043	
25183	-21930.05550765	-21934.00576809	-21939.53899323	
25184	-21930.05550765	-21934.14171496	-21949.19708769	
25185	-21930.07443487	-21934.48721521	-21957.76256774	
25186	-21930.17774465	-21940.12705331	-21945.17693057	
25187	-21930.17774465	-21935.52151923	-21944.01884236	
25188	-21930.09495639	-21935.38960215	-21948.18030276	
25189	-21930.09495639	-21935.38960215	-21948.18030276	
25190	-21930.09495639	-21935.38960215	-21948.18030276	
25191	-21931.01636852	-21931.01636852	-21942.30359277	
25192	-21930.26205411	-21930.26205411	-21940.96049166	
25193	-21930.09759464	-21935.18495019	-21940.16350871	
25194	-21930.09759464	-21935.18495019	-21940.16350871	
25195	-21930.09759464	-21940.73220365	-21949.74755891	
25196	-21930.41466751	-21940.7376064	-21949.44165939	
25197	-21930.27774671	-21951.19950478	-21941.5484894	
25198	-21930.27774671	-21941.5484894	-21951.19950478	
25199	-21931.23759853	-21948.16456041	-21937.12170748	
25200	-21931.23759853	-21937.12170748	-21948.16456041	
25201	-21930.057072	-21935.31554247	-21952.42438368	
25202	-21930.057072	-21952.42438368	-21935.31554247	
25203	-21930.057072	-21939.02378553	-21954.53735536	
25204	-21930.22252144	-21935.33843139	-21950.63511035	
25205	-21930.1615466	-21934.94248871	-21949.23378104	
25206	-21930.47780991	-21935.64871427	-21956.01146271	
25207	-21930.25990569	-21936.10175542	-21956.01146271	
25208	-21930.25990569	-21930.47780991	-21945.83072628	
25209	-21930.94016817	-21931.15775898	-21972.88667408	
25210	-21930.03381248	-21930.25154858	-21973.74218907	
25211	-21930.0410314	-21935.31816797	-21953.21821743	
25212	-21930.0410314	-21935.31816797	-21953.21821743	
25213	-21930.0410314	-21935.31816797	-21953.21821743	
25214	-21935.34512145	-21930.08662187	-21953.20753538	
25215	-21930.06582776	-21935.33256643	-21953.21162001	
25216	-21930.06582776	-21935.26165156	-21956.49053324	
25217	-21930.21892217	-21930.00104598	-21940.94411631	
25218	-21930.00104598	-21930.21892217	-21940.94411631	
25219	-21930.00104598	-21940.97831638	-21946.10483397	
25220	-21930.00104598	-21940.97831638	-21946.10483397	
25221	-21930.00104598	-21940.51443507	-21940.45752584	
25222	-21930.00104598	-21940.45752584	-21940.51443507	
25223	-21930.00104598	-21935.61345492	-21946.0098237	
25224	-21930.00104598	-21939.89295989	-21941.04021829	
25225	-21930.00104598	-21930.00104598	-21946.15066133	
25226	-21929.87908967	-21934.41858358	-21949.67376019	
25227	-21929.87908967	-21939.48263819	-21940.20578147	
25228	-21929.87908967	-21940.20578147	-21939.48263819	
25229	-21930.60986227	-21935.68148449	-21944.20526718	
25230	-21930.60986227	-21930.82749819	-21943.6518125	
25231	-21930.16522887	-21929.94747044	-21943.60504731	
25232	-21929.94747044	-21930.16522887	-21939.24205668	
25233	-21930.16522887	-21929.94747044	-21939.24205668	
25234	-21929.89755215	-21930.11532698	-21939.26254035	
25235	-21930.08729868	-21935.79605777	-21941.0362281	
25236	-21929.83677096	-21938.71815184	-21961.69547324	
25237	-21929.83677096	-21938.71815184	-21961.69547324	
25238	-21934.9466496	-21938.65865971	-21948.83011569	
25239	-21939.30868568	-21934.87018699	-21948.55857039	
25240	-21929.28368562	-21938.84263118	-21958.92052401	
25241	-21929.28605087	-21934.64723044	-21934.68578621	
25242	-21929.28605087	-21930.10407195	-21954.18434115	
25243	-21930.10407195	-21929.28605087	-21954.18434115	
25244	-21934.88008169	-21939.34088012	-21949.76182615	
25245	-21935.09724112	-21939.37849757	-21949.43952144	
25246	-21935.28782217	-21940.03251404	-21951.02208664	
25247	-21930.22068892	-21934.86690132	-21950.58908272	
25248	-21930.12510371	-21934.46278817	-21949.25806633	
25249	-21930.12510371	-21934.48899128	-21940.19872741	
25250	-21930.09246344	-21934.66103313	-21940.5759853	
25251	-21930.52353714	-21935.27203064	-21941.52960997	
25252	-21930.75772864	-21935.59346393	-21941.93839824	
25253	-21929.93944286	-21936.43498227	-21941.93839824	
25254	-21929.93944286	-21941.93839824	-21936.43498227	
25255	-21930.18999768	-21946.93316164	-21944.3924725	
25256	-21930.18999768	-21952.56320358	-21948.30680265	
25257	-21930.18999768	-21952.56320358	-21948.30680265	
25258	-21930.18999768	-21948.30680265	-21952.56320358	
25259	-21930.18999768	-21948.30680265	-21952.56320358	
25260	-21930.05404288	-21948.27023097	-21952.55148445	
25261	-21930.05404288	-21935.52031512	-21946.91190593	
25262	-21934.44897797	-21930.05404288	-21942.14498135	
25263	-21934.92384516	-21930.05404288	-21937.75843027	
25264	-21934.46256922	-21929.41401359	-21937.29860215	
25265	-21930.32422702	-21935.71174817	-21934.60897709	
25266	-21930.32422702	-21936.09553717	-21939.72256292	
25267	-21929.50848804	-21929.50848804	-21947.68753456	
25268	-21929.29312395	-21929.29312395	-21948.77969556	
25269	-21929.29312395	-21929.29312395	-21948.77969556	
25270	-21934.65808846	-21929.29312395	-21940.41969918	
25271	-21929.29312395	-21934.65808846	-21940.41969918	
