Sweep	Chain_1	Chain_2	Chain_3	
21718	-21947.03828579	-21951.84684986	-21956.84075777	
21719	-21947.03828579	-21951.84684986	-21956.84075777	
21720	-21946.27533632	-21950.77306855	-21946.61833417	
21721	-21946.27533632	-21954.60627249	-21956.22578171	
21722	-21946.61833417	-21956.22578171	-21954.3329865	
21723	-21946.61833417	-21954.3329865	-21956.22578171	
21724	-21946.61833417	-21954.3329865	-21956.22578171	
21725	-21946.61833417	-21953.95530046	-21963.66359072	
21726	-21946.61833417	-21953.95530046	-21963.66359072	
21727	-21946.61833417	-21949.85547657	-21972.30658457	
21728	-21946.61833417	-21961.59508435	-21951.59863269	
21729	-21946.61833417	-21957.77392807	-21960.7960135	
21730	-21946.61833417	-21960.7960135	-21957.77392807	
21731	-21946.61833417	-21957.77392807	-21960.7960135	
21732	-21946.61833417	-21960.7960135	-21957.77392807	
21733	-21946.61833417	-21957.77392807	-21960.7960135	
21734	-21946.61833417	-21950.84154529	-21957.77392807	
21735	-21947.07334125	-21948.65411882	-21966.89385479	
21736	-21948.65411882	-21947.07334125	-21966.89385479	
21737	-21948.65411882	-21947.07334125	-21971.62938522	
21738	-21947.65266653	-21949.23087645	-21979.62612077	
21739	-21950.9437502	-21955.1752235	-21972.88778812	
21740	-21950.48620885	-21957.62623615	-21967.38672133	
21741	-21947.17121179	-21951.00462871	-21962.80738921	
21742	-21946.37170121	-21946.02881306	-21955.5852703	
21743	-21946.02881306	-21946.37170121	-21950.64668334	
21744	-21946.37420256	-21946.03132649	-21950.6285853	
21745	-21946.07370967	-21946.41654121	-21950.60153684	
21746	-21946.07370967	-21958.9897507	-21963.48124103	
21747	-21946.07370967	-21953.09220143	-21954.22022566	
21748	-21946.07370967	-21952.1944643	-21949.32328586	
21749	-21946.16904214	-21950.31579701	-21959.55976608	
21750	-21946.16904214	-21950.31579701	-21959.55976608	
21751	-21946.05515625	-21950.0991591	-21959.13742347	
21752	-21946.05515625	-21950.0991591	-21959.13742347	
21753	-21946.10044756	-21949.95546343	-21958.61525723	
21754	-21950.230864	-21962.39474146	-21964.76779298	
21755	-21950.230864	-21962.39474146	-21964.76779298	
21756	-21950.230864	-21962.39474146	-21964.76779298	
21757	-21946.18632288	-21946.18632288	-21961.8435717	
21758	-21946.18632288	-21957.62066877	-21963.67457955	
21759	-21946.18632288	-21954.79517333	-21953.06056348	
21760	-21946.18632288	-21953.06056348	-21954.79517333	
21761	-21946.18632288	-21946.18632288	-21956.68942734	
21762	-21946.10263233	-21946.10263233	-21956.75754726	
21763	-21946.18047848	-21954.74783703	-21964.02362597	
21764	-21946.5240141	-21954.1542977	-21962.49175855	
21765	-21950.24445208	-21946.5240141	-21954.60511264	
21766	-21946.5240141	-21950.24445208	-21954.60511264	
21767	-21946.5240141	-21950.24445208	-21954.60511264	
21768	-21946.5240141	-21954.60511264	-21950.24445208	
21769	-21948.46560216	-21960.14855011	-21960.61111727	
21770	-21948.46560216	-21960.61111727	-21960.14855011	
21771	-21948.46560216	-21951.18114098	-21954.96389068	
21772	-21946.54187246	-21951.69205884	-21946.88490769	
21773	-21951.69205884	-21946.54187246	-21946.88490769	
21774	-21946.88490769	-21946.54187246	-21951.69205884	
21775	-21946.54187246	-21946.88490769	-21951.69205884	
21776	-21947.61728878	-21947.2742005	-21952.6635778	
21777	-21947.61728878	-21947.2742005	-21952.6635778	
21778	-21947.2742005	-21947.61728878	-21952.6635778	
21779	-21946.45106913	-21946.10825814	-21950.77946593	
21780	-21950.77946593	-21946.10825814	-21946.45106913	
21781	-21946.45106913	-21946.10825814	-21950.77946593	
21782	-21946.42186517	-21950.77418891	-21946.07903717	
21783	-21950.26357976	-21958.32587751	-21965.46477611	
21784	-21950.26357976	-21958.32587751	-21965.46477611	
21785	-21950.26357976	-21958.32587751	-21965.46477611	
21786	-21950.26357976	-21958.32587751	-21965.46477611	
21787	-21947.50030613	-21950.86235323	-21965.18815303	
21788	-21947.34021596	-21946.02998665	-21970.20347799	
21789	-21947.34021596	-21952.25822638	-21958.88832118	
21790	-21947.34021596	-21952.25822638	-21958.88832118	
21791	-21948.91652982	-21948.91652982	-21969.75866085	
21792	-21947.80809664	-21953.12224552	-21965.75094275	
21793	-21946.99259133	-21963.14678197	-21974.20960315	
21794	-21947.80809664	-21954.51900017	-21964.08923859	
21795	-21947.80809664	-21953.3480407	-21972.70595719	
21796	-21947.80809664	-21953.3480407	-21972.70595719	
21797	-21947.70702483	-21952.64355106	-21975.37989742	
21798	-21947.70702483	-21951.83816673	-21970.50871266	
21799	-21947.95524593	-21950.6703058	-21966.49570742	
21800	-21946.38753816	-21951.0961576	-21963.17653153	
21801	-21946.02909246	-21950.36379146	-21964.79540009	
21802	-21946.02909246	-21950.36379146	-21964.79540009	
21803	-21950.36379146	-21946.02909246	-21964.79540009	
21804	-21946.03353623	-21961.65160728	-21963.33888731	
21805	-21946.08413614	-21953.33556959	-21958.99618438	
21806	-21950.71197498	-21968.42838047	-21958.93851035	
21807	-21950.71197498	-21968.42838047	-21958.93851035	
21808	-21950.7464677	-21955.88252441	-21963.33850845	
21809	-21950.7464677	-21955.88252441	-21963.33850845	
21810	-21950.7464677	-21951.49246344	-21952.16416839	
21811	-21946.65913227	-21961.80222014	-21956.79043505	
21812	-21946.65913227	-21956.5018104	-21959.08022285	
21813	-21946.65913227	-21952.67748436	-21953.26498292	
21814	-21947.02729176	-21951.87802485	-21967.27885565	
21815	-21947.02729176	-21951.87802485	-21967.27885565	
21816	-21947.3703664	-21947.3703664	-21957.60666922	
21817	-21947.3703664	-21947.3703664	-21963.4859699	
21818	-21947.3703664	-21947.3703664	-21963.4859699	
21819	-21947.22752768	-21947.22752768	-21973.41748704	
21820	-21946.51785516	-21946.51785516	-21965.93018786	
21821	-21946.51785516	-21946.51785516	-21958.28714197	
21822	-21946.51785516	-21946.51785516	-21958.28714197	
21823	-21946.39326025	-21946.39326025	-21955.48774277	
21824	-21946.39326025	-21950.2675333	-21962.73928413	
21825	-21947.03623442	-21951.38862057	-21965.29583132	
21826	-21946.41805855	-21950.96644606	-21959.28963181	
21827	-21946.07511797	-21946.41805855	-21967.49932344	
21828	-21946.07116631	-21953.46871963	-21977.40094006	
21829	-21946.07116631	-21953.46871963	-21977.40094006	
21830	-21946.07116631	-21950.42284612	-21966.90469688	
21831	-21946.07116631	-21950.42284612	-21966.90469688	
21832	-21946.09476639	-21950.24131718	-21961.45339551	
21833	-21950.24131718	-21946.09476639	-21961.45339551	
21834	-21946.33394737	-21950.363224	-21961.22352336	
21835	-21946.33394737	-21950.363224	-21961.22352336	
21836	-21950.363224	-21946.33394737	-21961.22352336	
21837	-21946.03035435	-21950.99165135	-21950.57620574	
21838	-21946.03608623	-21951.01828961	-21950.60283032	
21839	-21950.33157847	-21946.37899657	-21961.70663673	
