Sweep	g
1139	4157.42
1140	4157.42
1141	4157.42
1142	994.292
1143	1141.74
1144	1369.1
1145	1100.52
1146	1489.91
1147	1213.9
1148	1213.9
1149	1639.26
1150	1220.84
1151	1155.7
1152	1155.7
1153	1011.72
1154	1381.29
1155	1421.86
1156	1421.86
1157	883.423
1158	1967.54
1159	1967.54
1160	972.97
1161	972.97
1162	972.97
1163	972.97
1164	1739.86
1165	1739.86
1166	1171.42
1167	1171.42
1168	1171.42
1169	1171.42
1170	1513.27
1171	1513.27
1172	567.706
1173	567.706
1174	1053.56
1175	1053.56
1176	1053.56
1177	1053.56
1178	1053.56
1179	1452.72
1180	1452.72
1181	1452.72
1182	1101.79
1183	1101.79
1184	1101.79
1185	1026.47
1186	1026.47
1187	1026.47
1188	1026.47
1189	1026.47
1190	1026.47
1191	1601.29
1192	1463.15
1193	2939.79
1194	1943.31
1195	1943.31
1196	1943.31
1197	1943.31
1198	1943.31
1199	2271.53
1200	2271.53
1201	2271.53
1202	2271.53
1203	2271.53
1204	2271.53
1205	2271.53
1206	1146.42
1207	1057.6
1208	1057.6
1209	1650.46
1210	1650.46
1211	796.363
1212	796.363
1213	796.363
1214	849.399
1215	849.399
1216	1122.67
1217	1122.67
1218	1122.67
1219	1122.67
1220	1122.67
1221	1122.67
1222	2306.08
1223	2306.08
1224	1449.41
1225	2100.98
1226	2237.32
1227	2237.32
1228	1170.46
1229	1170.46
1230	1170.46
1231	1170.46
1232	1044.66
1233	1796.36
1234	876.164
1235	876.164
1236	876.164
1237	876.164
1238	1918.82
1239	2409.91
1240	1614.95
1241	1614.95
1242	1614.95
1243	2062.86
1244	2062.86
1245	2310.23
1246	2310.23
1247	2310.23
1248	2310.23
1249	1989.62
1250	1989.62
1251	938.036
1252	844.606
1253	1622.2
1254	2479.78
1255	2385.83
1256	3523.8
1257	1341.56
1258	1341.56
1259	1518.83
1260	1781.98
1261	1781.98
1262	1781.98
1263	1781.98
1264	1781.98
1265	1702.81
1266	2510.98
1267	2510.98
1268	2510.98
1269	2964.02
1270	2411.38
1271	1709.86
1272	8365.82
1273	8365.82
1274	1736.24
1275	1736.24
1276	1736.24
1277	854.379
1278	854.379
1279	854.379
1280	854.379
1281	611.696
1282	568.457
1283	1291.28
1284	1291.28
1285	1291.28
1286	1291.28
1287	1291.28
1288	4096.66
1289	1241.36
1290	1241.36
1291	1269.67
1292	1269.67
1293	1269.67
1294	1224.39
1295	1224.39
1296	1224.39
1297	1224.39
1298	1224.39
1299	1224.39
1300	1318.34
1301	1391.38
1302	1391.38
1303	1391.38
1304	1391.38
1305	1391.38
1306	1203.73
1307	1203.73
1308	943.48
1309	970.827
1310	970.827
1311	970.827
1312	970.827
1313	1099.85
1314	1073.4
1315	1073.4
1316	1073.4
1317	4366.13
1318	2261.58
1319	2261.58
1320	2261.58
1321	2261.58
1322	2261.58
1323	1029.63
1324	1029.63
1325	1029.63
1326	1029.63
1327	1182.97
1328	1182.97
1329	1182.97
1330	709.596
1331	1836.01
1332	1836.01
1333	1836.01
1334	1836.01
1335	2583.94
1336	2583.94
1337	3363.59
1338	1712.36
1339	1712.36
1340	1177.73
1341	3719.11
1342	3719.11
1343	3719.11
1344	3719.11
1345	3719.11
1346	3719.11
1347	3719.11
1348	988.563
1349	988.563
1350	988.563
1351	988.563
1352	1311.65
1353	1311.65
1354	1311.65
1355	993.558
1356	1346.59
1357	1346.59
1358	1346.59
1359	1823.86
1360	3277.06
1361	3277.06
1362	3277.06
1363	3277.06
1364	3277.06
1365	3277.06
1366	3277.06
1367	3277.06
1368	1333.25
1369	2731.84
1370	3919.2
1371	3919.2
1372	583.963
1373	583.963
1374	583.963
1375	824.251
1376	824.251
1377	824.251
1378	824.251
1379	824.251
1380	1214.5
1381	1327.09
1382	906.481
1383	1691.36
1384	1005.42
1385	1005.42
1386	1005.42
1387	2207.27
1388	2207.27
1389	2207.27
1390	2207.27
1391	2207.27
1392	2207.27
1393	1094.1
1394	1094.1
1395	1094.1
1396	1146.19
1397	4385.4
1398	3853.56
1399	3853.56
1400	3853.56
1401	3853.56
1402	2816.85
1403	1095.01
1404	809.764
1405	809.764
1406	1393.03
1407	1393.03
1408	1393.03
1409	1186.15
1410	600.432
1411	600.432
1412	694.196
1413	1112.28
1414	1112.28
1415	780.96
1416	746.048
1417	637.499
1418	1928.05
1419	1928.05
1420	1928.05
1421	1324.95
1422	2790.49
1423	2790.49
1424	3723.12
1425	3723.12
1426	3723.12
1427	1692.84
1428	1692.84
1429	1692.84
1430	1339.62
1431	969.394
1432	969.394
1433	1161.93
1434	1932.72
1435	2622.94
1436	1555.37
1437	1555.37
1438	1555.37
1439	1555.37
1440	1650.16
1441	1650.16
1442	1171
1443	1942.61
1444	1942.61
1445	1942.61
1446	1942.61
1447	1942.61
1448	1156.98
1449	1156.98
1450	1054.08
1451	1065.71
1452	1065.71
1453	1062.17
1454	1220.89
1455	1314.51
1456	1388.56
1457	1533.31
1458	1533.31
1459	1533.31
1460	1533.31
1461	1533.31
1462	1533.31
1463	935.037
1464	2548.98
1465	1565.44
1466	1565.44
1467	1565.44
1468	1825.99
1469	1825.99
1470	919.589
1471	919.589
1472	919.589
1473	1623.28
1474	2654.5
1475	1163.62
1476	1044.68
1477	972.907
1478	1096.74
1479	1096.74
1480	1096.74
1481	1391.18
1482	1391.18
1483	1391.18
1484	1391.18
1485	1623.29
1486	1052.16
1487	1052.16
1488	1052.16
1489	1052.16
1490	1052.16
1491	970.719
1492	970.719
1493	1085.05
1494	1085.05
1495	1085.05
1496	1615.51
1497	1615.51
1498	1615.51
1499	3011.07
1500	3011.07
1501	3011.07
1502	3003.36
1503	2690.54
1504	2419.6
1505	855.283
1506	903.093
1507	1535.72
1508	1535.72
1509	1535.72
1510	900.158
1511	900.158
1512	736.137
1513	736.137
1514	1516.21
1515	1201
1516	1201
1517	1201
1518	2084.1
1519	1719.72
1520	1719.72
1521	1719.72
1522	1037.07
1523	1037.07
1524	1258.55
1525	1258.55
1526	1258.55
1527	1258.55
1528	1258.55
1529	925.886
1530	925.886
1531	1223.32
1532	1223.32
1533	998.846
1534	998.846
1535	998.846
1536	998.846
1537	998.846
1538	998.846
1539	998.846
1540	2347.46
1541	2347.46
1542	2347.46
1543	1743.66
1544	1241.38
1545	1241.38
1546	1056.99
1547	1056.99
1548	1056.99
1549	1056.99
1550	1056.99
1551	1669.59
1552	1235.99
1553	1235.99
1554	1235.99
1555	1235.99
1556	1235.99
1557	1309.64
1558	1363.7
1559	1363.7
1560	1363.7
1561	1363.7
1562	1363.7
1563	2096.51
1564	651.757
1565	651.757
1566	651.757
1567	651.757
1568	651.757
1569	651.757
1570	651.757
1571	651.757
1572	651.757
1573	651.757
1574	963.565
1575	963.565
1576	963.565
1577	963.565
1578	1367.81
1579	1367.81
1580	1367.81
1581	2813.62
1582	1298.45
1583	1298.45
1584	1298.45
1585	1298.45
1586	1298.45
1587	1247.47
1588	1210.46
1589	1210.46
1590	1214.79
1591	1214.79
1592	1214.79
1593	2463.77
1594	2463.77
1595	2463.77
1596	2463.77
1597	2463.77
1598	971.136
1599	971.136
1600	971.136
1601	1180.84
1602	1180.84
1603	1180.84
1604	6355.45
1605	3528.77
1606	1035.67
1607	1035.67
1608	909.935
1609	12907
1610	4068.11
1611	3850.38
1612	3938.76
1613	3938.76
1614	3938.76
1615	1549.62
1616	1549.62
1617	1337.77
1618	1337.77
1619	656.205
1620	656.205
1621	656.205
1622	656.205
1623	2557.54
1624	2541.38
1625	2541.38
1626	2541.38
1627	946.179
1628	946.179
1629	946.179
1630	946.179
1631	946.179
1632	946.179
1633	2678.59
1634	1855.63
1635	1855.63
1636	1502.41
1637	6296.17
1638	1936.76
1639	1936.76
1640	1936.76
1641	2303.93
1642	2303.93
1643	2477.83
1644	1105.75
1645	1105.75
1646	1105.75
1647	1559.91
1648	1559.91
1649	1559.91
1650	1346.9
1651	1346.9
1652	1757.11
1653	990.44
1654	1286.51
1655	4154.53
1656	1099.24
1657	1099.24
1658	1066.76
1659	1066.76
1660	1715.94
1661	1715.94
1662	1715.94
1663	806.09
1664	806.09
1665	806.09
1666	806.09
1667	806.09
1668	806.09
1669	1006.9
1670	1006.9
1671	868.178
1672	868.178
1673	1190.11
1674	2169.06
1675	2169.06
