Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
1840	1	1	1	2
1841	3	2	1	2
1842	2	2	1	2
1844	3	3	2	1
1846	2	2	3	1
1849	1	1	1	2
1852	1	1	3	1
1854	1	1	1	2
1856	2	2	1	2
1857	1	1	1	2
1859	1	1	1	3
1861	1	1	1	2
1862	1	1	1	2
1863	1	1	1	2
1864	2	2	1	2
1866	1	1	2	1
1871	1	1	2	1
1879	3	5	1	3
1882	1	1	1	3
1885	3	5	2	3
1890	3	5	2	1
1894	3	2	1	2
1905	2	2	1	2
1906	3	3	1	2
1911	1	1	1	3
1912	2	2	2	1
1914	2	2	3	2
1915	3	5	1	3
1916	2	2	3	1
1917	1	1	1	3
1919	2	2	1	2
1920	1	1	1	2
1922	1	1	1	2
1924	2	2	2	1
1925	2	2	1	2
1930	3	5	1	2
1933	2	2	1	2
1934	3	3	1	3
1940	2	2	1	2
1944	1	1	2	1
1949	3	3	2	1
1957	2	2	1	2
1958	2	2	1	2
1959	2	2	2	1
1960	3	5	1	3
1961	1	1	1	3
1963	3	3	1	3
1971	2	2	1	3
1973	2	2	2	1
1974	3	2	2	1
1988	3	3	1	3
1992	1	1	2	1
1993	3	2	1	2
1994	2	2	1	2
1996	3	4	1	2
1998	1	1	1	3
1999	1	1	1	2
2004	2	2	1	2
2009	2	2	1	2
2010	3	3	1	3
2012	1	1	1	2
2017	2	2	1	3
2019	2	2	1	3
2021	1	1	3	1
2022	3	3	1	2
2023	1	1	1	2
2025	3	5	2	1
2027	1	1	1	3
2029	3	2	2	1
2030	1	1	1	2
2031	3	5	1	3
2032	1	1	1	3
2033	1	1	1	3
2035	1	1	1	3
2037	2	2	1	3
2038	1	1	1	2
2039	1	1	1	2
2040	2	2	1	2
2041	3	2	1	2
2043	3	2	1	2
2047	1	1	1	2
2048	3	2	2	1
2051	3	3	1	2
2056	1	1	1	2
2059	1	1	1	2
2060	1	1	1	2
2063	1	1	1	2
2066	1	1	2	1
2070	3	2	1	2
2071	3	3	1	2
2073	2	2	1	2
2076	1	1	3	1
2077	3	5	3	1
2078	2	2	2	1
2079	2	2	2	1
2086	1	1	2	1
2087	3	2	1	2
2089	2	2	2	1
2095	2	2	1	2
2099	3	3	1	2
2100	3	2	2	1
2101	1	1	1	2
2107	3	2	1	2
2111	2	2	2	1
2119	3	1	1	3
2120	3	2	1	3
2122	2	2	1	3
2124	1	1	1	2
2125	2	2	1	2
2126	1	1	1	2
2130	3	5	1	2
2131	2	2	1	2
2132	1	1	1	2
2137	3	1	2	1
2142	3	3	3	1
2143	3	2	3	1
2147	2	2	1	2
2153	3	3	2	1
2154	2	2	2	1
2155	1	1	1	2
2156	2	2	2	1
2157	3	5	1	2
2158	2	2	1	2
2159	3	3	2	1
2160	1	1	1	2
2163	3	2	1	2
2167	2	2	2	1
2169	3	2	1	2
2174	1	1	1	2
2176	3	3	1	3
2178	3	3	1	2
2179	2	2	2	1
2180	1	1	1	2
2182	3	4	2	1
2186	3	2	1	2
2187	3	1	1	2
2193	3	3	1	2
2200	3	5	1	3
2201	1	1	1	3
2202	2	2	2	1
2204	2	2	1	2
2206	3	5	1	2
2208	2	2	1	2
2211	3	3	2	1
2213	1	1	1	2
2214	2	2	2	1
2216	3	2	1	3
2217	1	1	1	3
2223	1	1	1	2
2226	2	2	2	1
2228	1	1	1	2
2231	1	1	1	2
2236	3	3	1	2
2238	1	1	2	1
2239	1	1	2	1
2240	2	2	1	2
2241	1	1	2	1
2243	2	2	1	2
2245	3	3	1	2
2247	3	2	1	2
2252	3	3	1	2
2256	1	1	1	2
2257	3	5	1	2
2259	3	2	1	2
2261	3	1	2	1
2262	1	1	2	1
2264	1	1	1	2
2268	1	1	1	3
2269	1	1	2	1
2270	2	2	1	2
2274	2	2	1	2
2277	1	1	1	2
2278	3	3	1	2
2285	2	2	2	1
2287	3	2	2	1
2291	3	2	1	2
2292	3	5	1	2
2294	2	2	2	1
2295	2	2	1	2
2296	1	1	2	1
2297	1	1	1	2
2298	3	5	2	1
2300	3	3	2	1
2301	2	2	2	1
2309	1	1	1	2
2311	1	1	2	1
2312	2	2	2	1
2314	2	2	2	1
2317	3	5	1	2
2319	1	1	1	3
2325	3	2	2	1
2326	3	5	1	2
2327	1	1	1	2
2328	2	2	1	2
2329	1	1	1	2
2330	3	2	3	1
2335	3	2	1	3
2339	1	1	2	3
2341	3	2	3	1
2350	3	3	1	2
2352	2	2	1	2
2353	3	2	2	1
2354	2	2	1	2
2358	3	2	2	1
2360	1	1	1	2
2362	3	4	1	2
2364	3	1	2	1
2366	1	1	2	1
2374	2	2	1	2
2377	1	1	1	2
2380	1	1	3	1
2387	1	1	2	1
2388	2	2	2	1
2390	2	2	1	2
2392	2	2	1	3
2402	1	1	1	2
2403	2	2	2	1
2404	1	1	1	2
2405	3	5	2	1
2406	3	3	2	1
2407	2	2	1	2
